거래금액,거래유형,건물면적,건물주용도,건축년도,년,대지면적,법정동,시군구,용도지역,월,유형,일,지역코드,층,구분,건물m2당가격,토지m2당가격
28750,0,82.45,제1종근린생활,1986.0,2010,0.0,적선동,종로구,일반상업,2,집합,4,11110,0.0,0,348.696,inf
7000,0,26.21,판매,1984.0,2010,0.0,도렴동,종로구,일반상업,2,집합,17,11110,-1.0,0,267.074,inf
35000,0,48.76,업무,2005.0,2010,0.0,신문로1가,종로구,일반상업,2,집합,4,11110,13.0,0,717.801,inf
12409,0,16.55,제2종근린생활,1963.0,2010,17.85,관훈동,종로구,일반상업,2,일반,23,11110,0.0,지분,749.789,695.182
86500,0,253.68,제1종근린생활,2001.0,2010,119.7,익선동,종로구,일반상업,2,일반,5,11110,0.0,0,340.981,722.64
1040000,0,1666.13,제2종근린생활,2007.0,2010,773.2,봉익동,종로구,일반상업,2,일반,8,11110,0.0,0,624.201,1345.059
6200,0,4.06,판매,2004.0,2010,0.0,돈의동,종로구,일반상업,2,집합,17,11110,0.0,0,1527.094,inf
12596,0,5.78,판매,2006.0,2010,0.0,인의동,종로구,일반상업,2,집합,1,11110,1.0,0,2179.239,inf
12220,0,34.49,제2종근린생활,2006.0,2010,0.0,인의동,종로구,일반상업,2,집합,22,11110,-2.0,0,354.306,inf
10000,0,11.47,판매,0.0,2010,0.0,종로6가,종로구,일반상업,2,집합,9,11110,3.0,0,871.84,inf
70000,0,282.14,제1종근린생활,1995.0,2010,95.5,충신동,종로구,일반상업,2,일반,10,11110,0.0,0,248.104,732.984
18000,0,60.22,제2종근린생활,2003.0,2010,0.0,동숭동,종로구,제1종일반주거,2,집합,1,11110,1.0,0,298.904,inf
12900,0,39.06,제2종근린생활,2003.0,2010,0.0,동숭동,종로구,제1종일반주거,2,집합,5,11110,0.0,0,330.261,inf
4500,0,26.6,제2종근린생활,1998.0,2010,0.0,동숭동,종로구,제2종일반주거,2,집합,9,11110,1.0,0,169.173,inf
9000,0,18.36,제2종근린생활,1994.0,2010,0.0,혜화동,종로구,제3종일반주거,2,집합,1,11110,4.0,0,490.196,inf
9000,0,24.68,제2종근린생활,1994.0,2010,0.0,혜화동,종로구,제3종일반주거,2,집합,1,11110,4.0,0,364.668,inf
550000,0,950.46,제2종근린생활,2008.0,2010,321.0,명륜4가,종로구,제2종일반주거,2,일반,22,11110,0.0,0,578.667,1713.396
117000,0,369.38,제2종근린생활,2008.0,2010,198.3,명륜4가,종로구,제2종일반주거,2,일반,25,11110,0.0,0,316.747,590.015
11150,0,8.41,판매,1997.0,2010,0.0,창신동,종로구,일반상업,2,집합,10,11110,4.0,0,1325.803,inf
17250,0,8.41,판매,1997.0,2010,0.0,창신동,종로구,일반상업,2,집합,10,11110,2.0,0,2051.13,inf
10000,0,14.96,판매,1997.0,2010,0.0,창신동,종로구,일반상업,2,집합,10,11110,6.0,0,668.449,inf
11150,0,8.41,판매,1997.0,2010,0.0,창신동,종로구,일반상업,2,집합,10,11110,4.0,0,1325.803,inf
7150,0,8.41,판매,1997.0,2010,0.0,창신동,종로구,일반상업,2,집합,10,11110,1.0,0,850.178,inf
7500,0,8.41,판매,1997.0,2010,0.0,창신동,종로구,일반상업,2,집합,10,11110,4.0,0,891.795,inf
60000,0,46.28,제1종근린생활,0.0,2010,66.1,창신동,종로구,일반상업,2,일반,10,11110,0.0,0,1296.456,907.716
7150,0,8.41,판매,1997.0,2010,0.0,창신동,종로구,일반상업,2,집합,10,11110,1.0,0,850.178,inf
7500,0,8.41,판매,1997.0,2010,0.0,창신동,종로구,일반상업,2,집합,10,11110,4.0,0,891.795,inf
180000,0,412.51,제2종근린생활,1996.0,2010,0.0,창신동,종로구,일반상업,2,집합,19,11110,0.0,0,436.353,inf
180000,0,412.51,제2종근린생활,1996.0,2010,0.0,창신동,종로구,일반상업,2,집합,19,11110,0.0,0,436.353,inf
10000,0,35.67,업무,1997.0,2010,0.0,창신동,종로구,일반상업,2,집합,20,11110,0.0,0,280.348,inf
7000,0,35.25,업무,1997.0,2010,0.0,창신동,종로구,일반상업,2,집합,25,11110,8.0,0,198.582,inf
6000,0,30.31,업무,1997.0,2010,0.0,창신동,종로구,일반상업,2,집합,25,11110,8.0,0,197.954,inf
62500,0,82.64,제1종근린생활,0.0,2010,49.6,내자동,종로구,제3종일반주거,3,일반,18,11110,0.0,0,756.292,1260.081
9800,0,46.03,제2종근린생활,1983.0,2010,0.0,당주동,종로구,일반상업,3,집합,8,11110,-1.0,0,212.905,inf
31000,0,43.46,업무,2005.0,2010,0.0,신문로1가,종로구,일반상업,3,집합,23,11110,10.0,0,713.3,inf
102000,0,116.17,제2종근린생활,1961.0,2010,104.5,신문로2가,종로구,제2종일반주거,3,일반,8,11110,0.0,0,878.024,976.077
75000,0,73.42,제1종근린생활,2007.0,2010,0.0,종로1가,종로구,일반상업,3,집합,19,11110,4.0,0,1021.52,inf
560000,0,771.58,숙박,1984.0,2010,337.2,관훈동,종로구,일반상업,3,일반,11,11110,0.0,0,725.783,1660.735
82000,0,51.24,제2종근린생활,0.0,2010,84.6,관훈동,종로구,일반상업,3,일반,26,11110,0.0,0,1600.312,969.267
116896,0,125.09,업무,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,2.0,0,934.495,inf
22644,0,32.4,업무,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,2.0,0,698.889,inf
136447,0,129.16,업무,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,2.0,0,1056.418,inf
88737,0,83.99,업무,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,2.0,0,1056.519,inf
