level_0,index,거래일,거래금액,전용면적,구주소,도로명주소,아파트,층,건축년도,법정동,구,환산가격,환산m2당가격,인구밀도,학원갯수,위경도,위도,경도,역거리,공원거리,대학거리,대형병원거리,전통시장거리,상권거리,투기지구,강남3구,마용성,노도강
1738,202908,2018-08-11,87000,84.91,사당동 169-8,사당로17길 52.0 0.0,대림(169-8),14,1990.0,사당동,동작구,100328.181,1181.583,25922.4,214.0,"{'lat': '37.4862311600572', 'lng': '126.973195217153'}",37.4862311600572,126.973195217153,0.24997468917757443,0.1062026338340343,0.598097671555972,2.566643847662787,0.4084487531136667,0.6475529415496962,1,0,0,0
1741,50052,2020-10-20,154000,84.9,목동 932,목동동로 240.0 0.0,목동현대1,10,1997.0,목동,양천구,162527.849,1914.345,32053.2,1056.0,"{'lat': '37.525985700169', 'lng': '126.872700785544'}",37.525985700169,126.872700785544,0.2743698563577993,1.0511438104077813,2.917453630676345,1.6734001137666423,0.6558182961118003,0.2557674477340692,1,0,0,0
1742,139714,2019-09-26,57500,84.51,화곡동 1149,공항대로48길 12.0 0.0,화곡보람,10,2004.0,화곡동,강서구,64041.463,757.797,36250.125,342.0,"{'lat': '37.5540389922246', 'lng': '126.854635331277'}",37.5540389922246,126.854635331277,0.7445476283056908,0.6965010471303432,0.5967982102896212,3.4190185728481546,0.5650492867673703,0.3555846240458722,1,0,0,0
1745,370131,2017-11-29,91500,84.97,천호동 571,천호대로 1077.0 0.0,래미안강동팰리스,38,2017.0,천호동,강동구,113953.107,1341.098,31222.0,122.0,"{'lat': '37.5372215425851', 'lng': '127.131974711687'}",37.5372215425851,127.131974711687,0.16382338994475926,0.94695743033485,1.9255565746991188,2.4536240516127723,0.4857793537966967,0.4903080285501576,1,0,0,0
1747,85083,2017-06-02,105000,84.93,삼성동 2,선릉로130길 19.0 0.0,서광아파트,15,1998.0,삼성동,강남구,134339.453,1581.767,15761.5,138.0,"{'lat': '37.5170298747364', 'lng': '127.04274514562'}",37.5170298747364,127.04274514562,0.1303820488871333,0.9804256780495448,1.0356293147858224,3.663428324756389,1.0533216422889888,0.31359025922214007,1,1,0,0
1748,43640,2019-03-17,31000,84.99,신월동 485-2,오목로11길 17.0 10.0,두원A동,4,2004.0,신월동,양천구,34881.39,410.418,27199.714285714286,239.0,"{'lat': '37.524349462703', 'lng': '126.843512235467'}",37.524349462703,126.843512235467,0.9556201942442448,1.2130968521710324,2.7695801211264643,4.012254270747046,0.14078847724126448,1.048978052107144,1,0,0,0
1749,107397,2018-08-11,91500,84.96,자양동 507-6,능동로 50.0 0.0,이튼타워리버2차,8,2006.0,자양동,광진구,100055.348,1177.676,24348.0,207.0,"{'lat': '37.5355051981789', 'lng': '127.069164103799'}",37.5355051981789,127.069164103799,0.49138453228576434,1.9068455476848623,0.637570362232921,0.6055229117334953,0.22579384541252553,0.5338289827244753,0,0,0,0
1752,199966,2017-10-12,63500,84.99,신대방동 565,여의대방로 22.0 0.0,우성1,3,1988.0,신대방동,동작구,79682.611,937.553,30551.0,93.0,"{'lat': '37.4922668975385', 'lng': '126.911607080131'}",37.4922668975385,126.911607080131,1.14922269894186,0.5895654484841254,3.8699867602618334,2.356274944104916,1.971137016453838,1.1896623048830552,1,0,0,0
1755,208444,2020-10-24,170000,84.9108,흑석동 341,현충로 52.0 0.0,아크로리버하임,1,2019.0,흑석동,동작구,184166.224,2168.938,19817.0,66.0,"{'lat': '37.5106657671672', 'lng': '126.959685506035'}",37.5106657671672,126.959685506035,0.41270329793324295,1.0315215327239502,0.8381744214200848,0.4138982116865826,0.7099158100083813,1.4338189300743553,1,0,0,0
1756,18252,2019-06-27,86950,84.92,무악동 82,통일로 246.0 20.0,현대,19,2000.0,무악동,종로구,92069.812,1084.195,23047.0,22.0,"{'lat': '37.5756306329225', 'lng': '126.961060237387'}",37.5756306329225,126.961060237387,0.31478473268497875,0.5602634686192852,0.7006678541201181,0.9841464502021243,0.887079101497765,0.8778321272909244,1,0,0,0
1761,322511,2017-03-31,78000,84.3,서초동 1616-10,서리풀4길 43.0 0.0,서초극동스타클래스,7,2003.0,서초동,서초구,99922.369,1185.319,20636.25,542.0,"{'lat': '37.4879146864888', 'lng': '127.022990807699'}",37.4879146864888,127.022990807699,0.6813792235687609,2.138896180024613,0.7378206763152557,2.2116142726415884,1.377487217044825,0.5168638762402473,1,1,0,0
1772,159375,2018-08-23,50000,84.936,오류동 346,오류로8길 11.0 0.0,오류동푸르지오,16,2004.0,오류동,구로구,56555.428,665.859,25721.0,66.0,"{'lat': '37.4916084758634', 'lng': '126.841527883195'}",37.4916084758634,126.841527883195,0.4688789090872221,0.6910070699600752,1.0196336613394767,3.8271375423040164,0.560264305732332,0.47339552786615025,0,0,0,0
1773,51566,2021-04-15,43000,84.26,신월동 1035,신월로9길 16.0 0.0,청성넥스빌,9,2004.0,신월동,양천구,44332.904,526.144,27199.714285714286,239.0,"{'lat': '37.5189371963631', 'lng': '126.839854214416'}",37.5189371963631,126.839854214416,1.1585342804473266,0.9129145410704143,2.6829895365290346,4.540737753936771,0.2963655280010204,1.305152648948294,1,0,0,0
1775,46085,2019-10-12,53000,83.47,신월동 1040,오목로10길 7.0 8.0,신성2차미소지움,7,2005.0,신월동,양천구,59557.492,713.52,27199.714285714286,239.0,"{'lat': '37.5216230033302', 'lng': '126.845268947561'}",37.5216230033302,126.845268947561,0.6957171630454811,0.897937120766153,2.8357182277173183,3.9818771869606793,0.40941490623444216,0.8190536265298566,1,0,0,0
1776,360537,2020-08-19,142000,84.915,방이동 217,양재대로 1109.0 0.0,대림,6,1985.0,방이동,송파구,155431.744,1830.439,23668.0,278.0,"{'lat': '37.5075413562169', 'lng': '127.124169148232'}",37.5075413562169,127.124169148232,0.22673540700480452,0.8325337582789538,1.5385097155133043,2.433512373804936,0.6648479544355935,1.4911944515343278,1,1,0,0
1779,356061,2019-10-29,124500,84.915,방이동 217,양재대로 1109.0 0.0,대림,5,1985.0,방이동,송파구,142979.037,1683.79,23668.0,278.0,"{'lat': '37.5075413562169', 'lng': '127.124169148232'}",37.5075413562169,127.124169148232,0.22673540700480452,0.8325337582789538,1.5385097155133043,2.433512373804936,0.6648479544355935,1.4911944515343278,1,1,0,0
1781,67891,2017-05-30,79000,84.92,하왕십리동 1066,무학로 33.0 0.0,텐즈힐(1단지),16,2015.0,하왕십리동,성동구,96435.491,1135.604,39198.5,71.0,"{'lat': '37.5684498209013', 'lng': '127.028040516397'}",37.5684498209013,127.028040516397,0.46991860412197706,1.364895915652485,2.211365561712872,1.716724389127445,0.7549846085501256,0.8233684470155694,1,0,1,0
