,구,행정동,면적 (k㎡),인구 (명),면적 (㎢),인구밀도 (명/㎢),보육시설,외국인주민,중위연령,기초수급자,상가면적,도로비율,임야비율,공원비율,전세m2당보증금,학원갯수
173,노원구,상계6.7동,1.11,32774,1.11,29526,0.019375114419967046,0.00948922926710197,44.5,0.03286141453591261,2252.252252252252,0.07501737320174234,0.5596227704247608,0.020333079140508498,412.0,496.0
174,노원구,중계2.3동,0.9,34326,0.9,38140,0.01599370739381227,0.010050690438734487,48.3,0.14333158538717009,5878.888888888889,0.09237594876956755,0.4513862667548138,0.03573315686525407,516.0,619.0
175,노원구,공릉1동,1.41,37277,1.41,26438,0.02001234004882367,0.02422405236472892,43.8,0.06564369450331303,7922.6950354609935,0.07043554627763202,0.3105812097741594,0.012291038951992878,466.0,167.0
176,은평구,녹번동,1.79,37164,1.79,20762,0.03454956409428479,0.02044989775051125,45.4,0.047061672586373914,0.0,0.105339200545343,0.3809590955315069,0.022192772071081633,519.0,65.0
177,은평구,불광1동,3.13,38777,3.13,12389,0.020115016633571448,0.016710936895582434,47.5,0.04768290481470975,0.0,0.07004128524059353,0.5573136066091133,0.013132145412672129,445.0,116.0
178,은평구,갈현1동,0.97,22077,0.97,22760,0.026226389455089007,0.020745572315079043,48.5,0.08148752094940435,16901.03092783505,0.15042910221354672,0.24317719992667125,0.004945455296581176,436.0,166.0
179,은평구,갈현2동,0.96,28547,0.96,29736,0.02438084562300767,0.02364521666024451,45.9,0.051003608084912604,5116.666666666667,0.15042910221354672,0.24317719992667125,0.004945455296581176,436.0,166.0
180,은평구,구산동,1.38,32464,1.38,23525,0.02270206998521439,0.018944061113849185,47.3,0.04731394775751602,0.0,0.10273535146014924,0.39159738873791894,0.010137633245530785,459.0,74.0
181,은평구,대조동,0.85,27204,0.85,32005,0.022864284664019997,0.027054844875753565,44.7,0.058631083664167034,6697.64705882353,0.21753032477509562,0.001277055853757784,0.005374590876778954,527.0,57.0
182,은평구,응암1동,1.2,33287,1.2,27739,0.03367681076696608,0.020218103163397123,42.6,0.03469823054045123,0.0,0.17529005508998544,0.15202868201325376,0.01658683276609918,524.0,173.0
183,은평구,응암2동,0.78,28107,0.78,36035,0.03376383107410965,0.01654392144305689,42.1,0.03846017006439677,4343.589743589743,0.17529005508998544,0.15202868201325376,0.01658683276609918,524.0,173.0
184,은평구,신사1동,0.84,27231,0.84,32418,0.03143476185230069,0.016708897947192537,46.3,0.04035841504168044,0.0,0.0,0.0,0.0,481.0,568.0
185,은평구,신사2동,1.0,20330,1.0,20330,0.025479586817511068,0.014953271028037384,47.0,0.055041810132808656,0.0,0.0,0.0,0.0,481.0,568.0
186,은평구,증산동,0.81,15034,0.81,18560,0.023812691233204737,0.016096847146468005,46.0,0.04523081016362911,2680.2469135802467,0.19699826415245736,0.19733619595041554,0.00401407004859333,388.0,43.0
187,은평구,수색동,1.29,12752,1.29,9885,0.013331242158092848,0.012233375156838143,45.3,0.04501254705144291,832.5581395348837,0.11140781448335582,0.3134548612657069,0.0027654946487697903,541.0,8.0
188,은평구,진관동,11.53,56012,11.53,4858,0.028833107191316147,0.010622723702063843,43.8,0.028422480896950653,0.0,0.04398894976399673,0.6566129692613282,0.03303171651449509,520.0,179.0
189,은평구,불광2동,1.38,27798,1.38,20143,0.013813943449169004,0.02302323908194834,49.0,0.08036549392042593,1155.072463768116,0.07004128524059353,0.5573136066091133,0.013132145412672129,445.0,116.0
190,은평구,응암3동,0.63,24637,0.63,39106,0.023014165685757194,0.027966067297154687,49.1,0.07768803019848196,16026.984126984127,0.17529005508998544,0.15202868201325376,0.01658683276609918,524.0,173.0
191,은평구,역촌동,1.16,45752,1.16,39441,0.024348662353558315,0.019999125721279945,46.3,0.05175730022731247,0.0,0.1987526961405564,0.05796926658760981,0.0046195256173928775,472.0,115.0
192,서대문구,천연동,0.97,17359,0.97,17896,0.029091537530963767,0.024137335099948153,46.8,0.04343568177890431,2561.855670103093,0.14386212185074368,0.22086261102057528,0.07531060322065115,627.0,9.0
193,서대문구,홍제1동,1.23,23929,1.23,19454,0.023569727109365207,0.01918174599857913,46.8,0.03288896318274897,0.0,0.08222642927163594,0.44855469603548004,0.03341615834988386,497.0,138.0
194,서대문구,홍제2동,1.05,13801,1.05,13144,0.020940511557133543,0.014853996087240055,48.5,0.04340265198174045,0.0,0.08222642927163594,0.44855469603548004,0.03341615834988386,497.0,138.0
195,서대문구,홍제3동,0.81,15478,0.81,19109,0.028750484558728518,0.019446956971184908,48.1,0.04858508851272774,8388.888888888889,0.08222642927163594,0.44855469603548004,0.03341615834988386,497.0,138.0
196,서대문구,홍은1동,1.58,22933,1.58,14515,0.015523481445951249,0.017790956263899184,47.5,0.03396851698425849,8807.59493670886,0.07722388782944743,0.49359762136275054,0.014159976175664809,435.0,110.0
197,서대문구,홍은2동,2.06,27222,2.06,13215,0.00903680846374256,0.04235544779957388,46.3,0.04514730732495775,0.0,0.07722388782944743,0.49359762136275054,0.014159976175664809,435.0,110.0
