공원명,면적,개원일,주요시설,지역,공원주소,경도,위도
성수근린공원,5197.7㎡ ,1998.5.28 ,조경시설 : 그늘시렁 4개소 돌담 2개소(251.31M) 돌담 장식대 84개소 운동시설 : 농구장 176.6㎡ 배드민턴장 2면 편익시설 : 음수대 1개소 벤취 38개소 광장 706㎡ 관리시설 : 공원등 12본 (잔디등 6개소 투시등 2개소),성동구,서울특별시 성동구 성수2가 3동 302-25,127.0524023,37.5448144
샛마을근린공원,11467㎡ ,1999.5.31,농구대 2개소 체력단련시설 놀이터 다목적운동장 연못1개,강동구,서울특별시 강동구 명일1동 288,127.1471618,37.5504807
여의도근린공원,229539㎡,1999.1.24 ,건축물 : 8동 - 관리사무실(7.9㎡) 편의점3동(각 29.7㎡) 화장실7동(각104.28㎡)팔각정(27.72㎡) 사모정(8.91㎡) 공원지구대(264㎡) 공원파출소     - 자전거 도로 : 2.4km(폭4~6m) 산책로 : 3.9km(폭 2m)     - 한강둔치 연결 지하보도 : 120m(높이 2.5m 폭 8m)     - 공원등 : 334개소     - 스프링클러 : 6.4km 155개소     - 광장 : 24735㎡(7482평)     - 자전거보관대 : 2개소(16대)     - 연못 : 3개소 4848㎡( 지당연못 3530㎡ 생태연못 730㎡ 잔디마당연못 588㎡) ,영등포구,서울특별시 영등포구 여의공원로 68 (여의도동),126.922377,37.526129
훈련원근린공원,16734.60㎥ ,1997.6.30,편익시설 : 관리실(29.30㎡) 화장실(33.62㎡) 벤취 34 조경시설 : 수목 소나무외 26종 22771주 잔디 9039㎡ (2734평) 파고라 1 음수대 1계류천 벽천 안개분수 ,중구,서울특별시 중구 을지로 227,127.0038188,37.5675245
영등포근린공원,61544㎡ 녹지대 : 40792㎡ 광 장 : 6600㎡ 기 타 : 14152㎡,1998.7.8,관리시설 : 관리사무소 공원등 안내판 조경시설 : 음악분수 파고라 연못 개울 벽천 잔디밭 운동시설 : 농구장 배드민턴장 풋살경기장 편익시설 : 주차장 공중전화 음수전 화장실 의자 휴양시설 : 야외정자,영등포구,서울특별시 영등포구 신길로 275,126.910662,37.515423
보라매근린공원,424106㎡ ,1986.5.5,조경시설 : 잔디마당 수경시설(연못 벽천 등) 철쭉동산 무궁화동산 등 운동시설 : 조깅트랙 인조잔디축구장 테니스장 다목적운동장 베드민턴장 인공암벽등반장 게이트볼장 지압보도 헬스시설(평행봉 등 28종) 편익시설 : 주차장 매점 음수대 팔각정 화장실 벤치 유희시설 : 어린이놀이터  피크닉장 바닥분수 에어파크 교양시설 : 청소년수련관 시민안전체험관 동작구민회관 보안시설 : 시설물관리 감시용 CCTV 38대 24시간 녹화가동 중 기타시설 : 관악노인종합복지관 서울시지적장애인복지관 서울시남부장애인복지관 동작경찰서 지구대파견소 ※ 신림 경전철 공사로 인해 농구장 X-game장 인라인스케이트장은 폐쇄 ,동작구,서울특별시 동작구 여의대방로20길 33(보라매공원),126.918289,37.492333
어린이대공원,560552㎡,1973.5.5 ,교양시설：41개소(야외음악당 등) 조경시설：14개소(분수대 등) 유희시설：45종(놀이동산 등)   편의시설：110개소(식당 등) 동 물 원：105종 621마리 식 물 원：373종 5977 본 ,광진구,서울특별시 광진구 능동로 216(어린이대공원),127.0809212,37.5498987
천호근린공원,26696.8㎥ ,1998.6.20 ,기반시설 : 광장 1300㎡ 조경시설 : 연못 1개소 888㎡(음악분수 108) 운동시설 : 배드민턴코트 4면 600㎡(182평) 농구대 4조 족구장 442㎡(134평) 체력단련시설 32조 체력단련시설 상세 : 허리돌리기 4 철봉 3 옆파도타기 3 공중걷기 2 오금펴기 1 레그익스텐션 1 윗몸일으키기 1 로프당기기 2 팔내리기운동 1 벤치프레스 4 체스트웨이트 1 렛풀다운 1 팩덱머신 1 노젓기운동 1 양다리운동 2 상체근육풀기 2 다리운동 1 양회전운동 1 등?허리지압기 1 온몸역도올리기 3 버터플라이 1 교양시설 : 야외무대 1개소 213㎡ 도서관 473㎡ 편의시설 : 벤치(등받이) 64 벤치 40 팔각정자 1개소 평상 17 원형테이블 2 피크닉테이블 27 음수대 2 관리시설 : 공원등 58본 감시카메라 5본 서치라이트 2조 스피커 34개 음악분수제어실 1 ,강동구,서울특별시 강동구 올림픽로 702(천호공원),127.1263451,37.5444741
용산가족공원,75900㎡,1992.11.5 ,조경시설 : 잔디광장 연못 4개소(6740㎡) 정자3 원두막2 자연학습장 맨발공원 태극기공원 운동시설 : 철봉 평행봉 역기 윗몸일으키기 등배치기 등 13점 편익시설 : 주차장(50대) 음수대 공중전화 화장실 벤치 자동판매기 교양시설 : 국제조각품 9점 기타시설 : 야외예식장 빗물펌프장 공원가로등(59본 118등),용산구,서울특별시 용산구 서빙고로 185,126.983335,37.522226
독립근린공원,113021.7m2,1992.8.15,방문자센터(관리사무소 위치) 순국선열추념탑 서재필선생동상 독립관(순국선열 위패봉안소) 3?1독립선언기념탑 독립문 형무소 역사관 이진아기념도서관 ,서대문구,서울특별시 서대문구 통일로251(독립공원),126.956771,37.5738289
